ID,Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,SS,Alcohol,Amphet,Amyl,Benzos,Caff,Canabis,Choc,Coke,Crack,Ecstasy,Heroin,Ketamin,Legalh,LSD,Meth,Mushrooms,Nicotine,Semer,VSA
239,18-24,F,Left school at 18 years,UK,White,0.52135,-0.15487,-0.71727,-0.60633,0.25953,-0.21712,-0.21575,Last Month,Never,Never,Never,Last Day,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
240,45-54,F,Professional certificate/diploma,UK,White,-1.86962,0.63779,0.7233,1.61108,0.25953,-1.37983,-0.84637,Last Week,Never,Never,Never,Last Day,Never,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
241,35-40,F,Masters degree,UK,White,0.62967,-1.23177,-0.01928,1.61108,2.63199,-1.37983,-0.84637,Last Month,Never,Never,Never,Last Day,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Decade Ago,Decade Ago,Never,Never
242,25-34,F,Left school at 18 years,Other,White,2.127,-1.23177,-0.84732,0.76096,-1.0145,0.19268,-1.18084,Last Week,Never,Never,Never,Last Month,Last Decade,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Last Decade,Never,Decade Ago
243,18-24,F,"Some college or university, no certificate or degree",UK,White,1.49158,-1.50796,-3.27393,0.76096,-0.89891,-1.37983,-1.54858,Last Week,Never,Never,Never,Last Day,Never,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Last Month,Never,Last Year
244,25-34,F,University degree,UK,White,-0.58016,1.11406,0.7233,0.94156,0.93949,-1.37983,-0.21575,Last Week,Last Year,Decade Ago,Last Decade,Last Day,Last Year,Last Month,Last Year,Last Decade,Last Decade,Never,Never,Last Year,Never,Never,Never,Last Week,Never,Decade Ago
245,35-40,M,University degree,UK,White,1.98437,-1.50796,-0.17779,1.11406,-2.90161,-0.71126,-0.52593,Last Week,Never,Never,Last Year,Last Day,Decade Ago,Last Day,Never,Never,Decade Ago,Never,Never,Never,Never,Never,Never,Never,Never,Never
246,25-34,F,"Some college or university, no certificate or degree",UK,White,-0.24649,-0.94779,-1.68062,-1.47955,-1.38502,-2.55524,-1.54858,Last Week,Decade Ago,Never,Never,Last Day,Decade Ago,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Last Day,Never,Never
247,25-34,F,Professional certificate/diploma,UK,White,1.37297,-0.69509,-1.27553,0.43852,-0.65253,-0.21712,-0.84637,Last Week,Never,Never,Last Decade,Never,Last Decade,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Last Week,Never,Never
248,45-54,M,Masters degree,UK,White,-0.92104,-0.30033,-1.11902,0.59042,1.63088,-0.21712,-0.52593,Last Day,Never,Never,Never,Last Day,Never,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
249,45-54,F,Doctorate degree,UK,White,-2.42317,0.16767,-0.31776,2.03972,1.81175,-0.71126,-1.18084,Last Week,Never,Never,Never,Last Week,Never,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
250,45-54,F,Professional certificate/diploma,UK,White,1.13281,0.32197,-0.17779,0.94156,1.13407,-0.71126,-0.21575,Last Week,Never,Never,Never,Never,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Last Day,Never,Never
251,45-54,M,University degree,UK,White,-0.46725,0.16767,-0.31776,-0.45321,1.46191,0.19268,-0.84637,Last Week,Never,Never,Never,Last Day,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
252,35-40,F,University degree,UK,White,0.62967,-0.94779,-0.71727,-0.15487,0.7583,-1.37983,-1.54858,Last Month,Never,Never,Never,Last Week,Never,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
253,18-24,F,Masters degree,UK,White,-1.43907,0.96248,-0.58331,2.23427,2.04506,-0.71126,-0.21575,Last Week,Never,Never,Never,Last Day,Last Decade,Last Month,Never,Never,Never,Never,Never,Never,Never,Never,Never,Last Decade,Never,Never
254,45-54,F,Doctorate degree,UK,White,-0.79151,0.16767,0.29338,-0.01729,0.93949,-1.37983,-2.07848,Last Day,Never,Never,Never,Last Day,Last Decade,Last Week,Last Decade,Never,Never,Never,Never,Never,Never,Never,Never,Last Decade,Never,Never
255,25-34,M,Professional certificate/diploma,UK,White,1.37297,-0.69509,-0.71727,-0.91699,-0.27607,-1.37983,-0.84637,Last Month,Never,Never,Never,Last Day,Last Year,Last Month,Never,Never,Never,Never,Never,Never,Never,Never,Never,Last Year,Never,Never
256,35-40,F,Masters degree,UK,White,-1.1943,1.74091,1.06238,1.2861,0.7583,0.19268,0.40148,Last Week,Decade Ago,Never,Never,Last Week,Last Decade,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Last Decade,Never,Never
257,18-24,F,"Some college or university, no certificate or degree",UK,White,-0.46725,0.63779,-0.31776,0.76096,0.93949,-0.71126,-0.21575,Last Month,Last Decade,Never,Never,Last Decade,Last Decade,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
258,35-40,M,Doctorate degree,UK,White,0.04257,0.00332,0.88309,-2.70172,-0.27607,-0.71126,0.07987,Last Month,Decade Ago,Decade Ago,Decade Ago,Last Day,Decade Ago,Last Day,Last Decade,Never,Last Decade,Never,Never,Last Decade,Decade Ago,Never,Decade Ago,Last Month,Never,Decade Ago
259,65+,M,Doctorate degree,UK,White,0.52135,-0.15487,-0.45174,-1.47955,1.81175,-0.71126,-1.54858,Last Week,Never,Never,Last Week,Last Month,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
260,65+,M,Professional certificate/diploma,UK,White,-1.05308,-0.30033,0.29338,0.43852,0.7583,-0.21712,-0.52593,Last Day,Never,Never,Never,Last Day,Never,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
261,45-54,F,Professional certificate/diploma,UK,White,-0.46725,0.96248,2.15324,-0.91699,-0.00665,1.86203,1.2247,Last Week,Never,Never,Never,Last Day,Last Decade,Last Week,Never,Never,Never,Never,Never,Never,Decade Ago,Never,Never,Never,Never,Never
262,55-64,M,University degree,UK,White,-0.67825,-0.43999,0.7233,-0.01729,-0.14277,1.86203,0.07987,Last Decade,Never,Decade Ago,Last Decade,Never,Decade Ago,Last Day,Never,Never,Never,Never,Never,Never,Decade Ago,Never,Decade Ago,Last Day,Never,Never
263,45-54,M,Masters degree,UK,Asian,-0.92104,0.80523,-0.31776,0.94156,0.25953,-1.37983,-1.54858,Last Year,Never,Never,Never,Last Day,Never,Last Month,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
264,55-64,F,Left school before 16 years,UK,White,-1.05308,0.00332,-0.01928,1.61108,1.13407,-0.71126,-1.54858,Last Week,Never,Never,Never,Never,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Decade Ago,Never,Never
265,18-24,F,University degree,UK,White,-0.46725,0.16767,-0.01928,0.59042,0.58489,-1.37983,-1.18084,Last Week,Never,Never,Never,Last Week,Last Decade,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
266,35-40,F,University degree,UK,Black,-0.24649,0.00332,-0.45174,-0.01729,-0.00665,-0.71126,-2.07848,Last Decade,Never,Never,Never,Last Day,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
267,55-64,M,University degree,UK,White,-1.1943,-0.15487,-0.17779,0.28783,0.7583,-0.21712,0.07987,Last Day,Decade Ago,Never,Never,Last Day,Last Year,Last Day,Never,Never,Never,Never,Never,Never,Decade Ago,Never,Never,Decade Ago,Never,Never
268,35-40,M,Professional certificate/diploma,UK,Black,-0.92104,1.45421,-1.27553,-0.45321,-0.00665,-0.21712,0.07987,Last Day,Never,Never,Never,Last Day,Never,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
269,45-54,F,Masters degree,UK,White,-1.05308,1.74091,0.58331,0.43852,2.04506,-0.21712,-0.52593,Last Day,Never,Never,Never,Last Day,Decade Ago,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Decade Ago,Never,Never
270,35-40,F,Masters degree,UK,Black,-0.92104,0.16767,-0.84732,-0.76096,0.12331,-1.37983,-2.07848,Last Month,Never,Never,Last Decade,Last Decade,Never,Last Month,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
271,45-54,F,Masters degree,UK,White,-2.3436,2.127,1.65653,0.76096,0.7583,0.88113,0.40148,Last Day,Never,Never,Never,Last Day,Decade Ago,Last Day,Never,Never,Never,Never,Never,Never,Decade Ago,Never,Never,Never,Never,Never
272,45-54,F,Masters degree,UK,White,0.73545,-0.69509,0.44585,0.28783,-1.38502,-0.71126,0.7654,Last Day,Decade Ago,Decade Ago,Never,Last Day,Decade Ago,Last Week,Never,Never,Never,Never,Never,Decade Ago,Never,Last Decade,Decade Ago,Last Decade,Never,Never
273,55-64,M,Doctorate degree,UK,White,-1.05308,0.00332,-0.01928,0.28783,-0.00665,0.52975,-0.84637,Last Day,Never,Never,Never,Last Day,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Decade Ago,Never,Never
274,25-34,F,University degree,UK,White,0.22393,0.16767,-1.11902,0.28783,0.25953,-0.71126,-0.21575,Last Day,Last Year,Last Year,Last Month,Last Day,Last Year,Last Day,Last Year,Never,Last Decade,Never,Last Decade,Last Year,Last Decade,Never,Decade Ago,Last Month,Never,Never
275,35-40,M,Masters degree,UK,White,0.22393,0.96248,0.14143,-0.91699,0.58489,-0.21712,0.7654,Last Day,Decade Ago,Last Day,Last Week,Last Day,Last Year,Last Month,Decade Ago,Decade Ago,Decade Ago,Never,Decade Ago,Never,Decade Ago,Never,Never,Last Day,Never,Never
276,35-40,F,Masters degree,UK,White,0.41667,-0.43999,0.14143,0.43852,1.63088,-1.37983,-0.21575,Last Month,Never,Never,Never,Last Day,Decade Ago,Last Month,Decade Ago,Never,Decade Ago,Never,Decade Ago,Never,Never,Never,Never,Last Decade,Never,Never
277,55-64,M,Doctorate degree,UK,White,-0.92104,0.47617,-0.58331,-0.30172,-0.52745,-0.21712,-0.52593,Last Day,Never,Never,Never,Last Year,Never,Last Year,Never,Never,Never,Never,Never,Never,Never,Never,Never,Decade Ago,Never,Never
278,25-34,M,"Some college or university, no certificate or degree",UK,White,-1.05308,1.45421,1.06238,0.76096,-0.14277,0.52975,0.07987,Last Week,Last Decade,Last Decade,Last Decade,Last Week,Last Month,Last Week,Last Year,Never,Last Year,Never,Last Decade,Never,Last Decade,Never,Last Year,Last Year,Never,Never
279,45-54,F,University degree,UK,White,-0.24649,-0.43999,-0.31776,0.76096,-0.00665,-0.71126,-0.52593,Last Week,Never,Never,Never,Last Day,Never,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
280,45-54,M,Masters degree,UK,White,-1.32828,0.80523,0.29338,0.43852,0.41594,0.19268,-0.52593,Last Week,Decade Ago,Never,Last Decade,Last Day,Decade Ago,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Decade Ago,Never,Never
281,55-64,M,Masters degree,UK,White,-0.05188,0.16767,0.7233,-0.01729,-0.89891,-0.71126,-0.84637,Last Day,Never,Never,Never,Last Day,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Decade Ago,Never,Never
282,45-54,F,"Some college or university, no certificate or degree",UK,White,0.04257,-0.30033,-2.21069,-0.15487,-0.14277,-0.71126,-0.84637,Last Week,Never,Never,Decade Ago,Last Day,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
283,45-54,F,Masters degree,UK,White,-0.05188,0.00332,0.14143,0.94156,0.93949,0.19268,0.40148,Last Week,Never,Never,Never,Last Week,Decade Ago,Last Week,Decade Ago,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
284,45-54,M,University degree,UK,White,-0.92104,1.58487,0.14143,-0.30172,0.7583,0.19268,0.40148,Last Day,Never,Never,Never,Last Day,Never,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
285,35-40,M,Professional certificate/diploma,Other,White,-1.1943,-0.80615,0.7233,-0.45321,0.25953,1.29221,-0.21575,Last Year,Last Decade,Last Decade,Last Year,Last Day,Last Decade,Last Week,Last Decade,Never,Last Decade,Never,Never,Never,Never,Never,Last Decade,Last Day,Never,Never
286,35-40,M,University degree,UK,White,-0.92104,1.2861,-0.71727,-0.30172,0.25953,-1.37983,-0.21575,Last Week,Never,Never,Never,Last Day,Never,Last Month,Never,Never,Never,Never,Never,Never,Never,Never,Never,Last Week,Never,Never
287,45-54,F,University degree,UK,White,0.22393,-1.37639,-0.17779,-1.34289,-0.14277,-1.37983,-2.07848,Last Week,Never,Never,Never,Last Day,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
288,45-54,M,Masters degree,UK,White,0.31287,0.32197,-0.45174,0.43852,-0.89891,-0.21712,-0.21575,Last Year,Never,Never,Last Decade,Last Day,Decade Ago,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
289,25-34,M,"Some college or university, no certificate or degree",UK,White,0.62967,0.32197,-0.71727,-0.30172,-0.00665,-0.21712,-1.54858,Last Day,Never,Never,Never,Last Day,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Last Day,Never,Never
290,25-34,F,Masters degree,UK,White,-2.05048,0.63779,-0.71727,1.61108,1.13407,-1.37983,-1.18084,Last Month,Never,Decade Ago,Never,Last Day,Last Decade,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Last Day,Never,Never
291,35-40,F,Professional certificate/diploma,UK,Black,-0.92104,0.96248,-0.84732,1.45039,0.93949,-1.37983,-1.54858,Never,Never,Never,Never,Last Week,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
292,35-40,F,"Some college or university, no certificate or degree",UK,White,0.62967,-1.09207,0.44585,-0.76096,-0.40581,-1.37983,-0.52593,Last Week,Decade Ago,Never,Never,Last Month,Last Week,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Last Month,Never,Never
293,45-54,F,Professional certificate/diploma,UK,White,-0.05188,-0.15487,-0.58331,-0.60633,0.41594,-0.71126,-0.52593,Last Year,Never,Never,Never,Last Day,Never,Last Year,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
295,25-34,F,Professional certificate/diploma,UK,White,1.13281,0.00332,-0.17779,-0.76096,-0.40581,0.19268,-0.21575,Last Year,Decade Ago,Decade Ago,Never,Last Year,Last Year,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Last Day,Never,Decade Ago
296,18-24,F,Left school at 17 years,UK,White,-0.34799,0.47617,-0.17779,-0.60633,-0.14277,-0.71126,-0.84637,Last Week,Never,Never,Never,Last Month,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
297,35-40,M,Professional certificate/diploma,UK,White,1.37297,-0.43999,0.14143,-0.01729,-0.00665,-0.71126,-0.52593,Last Week,Never,Decade Ago,Last Month,Last Week,Last Decade,Last Day,Never,Never,Never,Last Decade,Never,Never,Never,Never,Never,Last Decade,Never,Never
298,65+,F,Left school at 16 years,UK,White,0.82562,-0.80615,0.14143,-0.15487,1.13407,-0.21712,-0.52593,Never,Never,Never,Never,Last Day,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
300,35-40,F,University degree,UK,White,0.13606,-0.30033,-1.42424,1.61108,0.41594,-0.21712,-1.54858,Last Week,Never,Never,Never,Last Day,Never,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
301,35-40,F,Professional certificate/diploma,USA,White,0.82562,-0.94779,-0.17779,0.43852,0.58489,-0.71126,-0.84637,Last Week,Never,Never,Never,Last Month,Never,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
302,25-34,F,"Some college or university, no certificate or degree",USA,White,-0.24649,-0.43999,-1.55521,0.13136,0.58489,-1.37983,-1.54858,Last Year,Never,Never,Never,Last Decade,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Last Day,Never,Never
303,35-40,F,Doctorate degree,UK,White,0.52135,-0.43999,-0.71727,0.59042,0.93949,-0.71126,-0.84637,Last Day,Never,Never,Never,Last Day,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Decade Ago,Never,Never
304,55-64,F,Professional certificate/diploma,UK,White,-0.14882,0.63779,-0.01928,-0.76096,-0.40581,-0.21712,0.07987,Last Day,Never,Never,Decade Ago,Last Day,Last Decade,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Last Decade,Decade Ago,Never,Never
305,45-54,F,University degree,UK,White,-0.34799,0.00332,-1.27553,-0.15487,0.93949,-0.21712,-1.18084,Last Day,Never,Never,Never,Last Day,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
306,45-54,F,University degree,UK,White,-1.05308,-2.32338,-1.27553,1.61108,0.12331,-0.71126,-1.54858,Last Month,Decade Ago,Last Decade,Never,Last Day,Never,Last Month,Decade Ago,Never,Decade Ago,Never,Never,Never,Decade Ago,Never,Never,Never,Never,Never
307,35-40,M,Masters degree,UK,White,0.22393,-1.23177,-0.84732,-1.07533,0.7583,-1.37983,-0.84637,Last Week,Never,Decade Ago,Never,Last Day,Last Decade,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Last Decade,Never,Never
308,45-54,M,Masters degree,UK,White,-0.46725,-0.57545,-0.71727,1.11406,0.7583,-0.71126,-0.52593,Last Week,Never,Never,Never,Last Day,Last Decade,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
309,35-40,F,Left school at 18 years,UK,White,-1.69163,0.80523,-0.17779,-0.01729,1.63088,0.19268,0.07987,Last Week,Never,Never,Never,Last Day,Never,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
310,35-40,M,Masters degree,UK,White,-0.79151,0.16767,-0.17779,0.59042,0.41594,-1.37983,-2.07848,Last Day,Never,Never,Never,Last Day,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
311,45-54,F,University degree,UK,White,-1.32828,-0.15487,-0.84732,0.13136,0.58489,-1.37983,-1.54858,Last Year,Never,Never,Never,Last Day,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Decade Ago,Last Month,Never,Decade Ago
312,18-24,F,Left school at 16 years,UK,White,1.13281,-0.57545,-1.97495,-0.30172,-0.14277,1.86203,0.7654,Last Year,Never,Never,Never,Last Day,Decade Ago,Last Day,Decade Ago,Never,Never,Never,Never,Never,Never,Never,Never,Last Decade,Never,Never
313,45-54,F,Masters degree,UK,White,-0.34799,0.00332,-0.45174,0.28783,0.12331,-1.37983,-0.52593,Last Day,Never,Never,Decade Ago,Last Day,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
314,25-34,F,Masters degree,UK,White,0.04257,1.74091,0.29338,0.59042,1.30612,0.19268,-0.52593,Last Week,Decade Ago,Decade Ago,Never,Last Day,Never,Last Week,Decade Ago,Never,Decade Ago,Never,Never,Never,Decade Ago,Never,Decade Ago,Last Week,Never,Never
315,18-24,F,Left school at 18 years,Republic of Ireland,White,-0.58016,0.16767,-0.71727,0.13136,-0.14277,-0.71126,-1.18084,Last Week,Never,Never,Never,Last Day,Never,Last Month,Never,Never,Never,Never,Never,Never,Never,Never,Never,Last Week,Never,Never
316,45-54,F,Doctorate degree,UK,White,-0.79151,0.80523,0.58331,-0.01729,0.41594,-0.71126,-0.52593,Last Week,Never,Never,Never,Last Day,Never,Last Month,Never,Never,Never,Never,Never,Never,Never,Never,Never,Decade Ago,Never,Never
317,55-64,F,University degree,UK,White,-0.46725,0.80523,1.06238,-0.45321,-0.78155,1.86203,0.40148,Last Week,Decade Ago,Never,Never,Last Day,Last Year,Last Day,Decade Ago,Never,Decade Ago,Never,Never,Never,Decade Ago,Never,Never,Last Day,Never,Never
318,35-40,M,University degree,UK,Black,-0.79151,1.93886,-0.97631,-0.01729,1.13407,-0.71126,-0.52593,Last Week,Never,Never,Never,Last Day,Last Decade,Last Month,Never,Never,Never,Never,Never,Never,Never,Never,Never,Last Year,Never,Never
319,25-34,F,Professional certificate/diploma,UK,White,0.04257,0.00332,-0.71727,0.28783,0.93949,-1.37983,-1.18084,Last Decade,Never,Never,Never,Last Day,Never,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
320,45-54,F,Left school at 16 years,UK,Other,0.31287,-0.30033,-1.27553,-0.15487,0.58489,0.88113,0.40148,Last Month,Never,Never,Never,Never,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
321,45-54,F,University degree,UK,White,0.73545,-0.30033,-0.58331,-1.07533,-0.14277,-1.37983,-1.18084,Last Week,Never,Never,Never,Last Day,Decade Ago,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
322,35-40,F,"Some college or university, no certificate or degree",UK,White,0.52135,-0.30033,-0.97631,1.81866,1.63088,-1.37983,-2.07848,Last Week,Never,Never,Never,Last Day,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
323,18-24,F,University degree,UK,White,-0.79151,0.47617,0.44585,0.94156,0.12331,-0.21712,0.40148,Last Week,Never,Last Decade,Never,Last Day,Last Decade,Last Day,Never,Never,Never,Never,Never,Last Decade,Never,Never,Never,Last Decade,Never,Never
324,45-54,M,Left school at 17 years,UK,White,0.91093,-1.09207,-1.68062,0.28783,-0.78155,-0.71126,0.07987,Last Day,Decade Ago,Decade Ago,Never,Last Day,Last Decade,Last Week,Decade Ago,Never,Decade Ago,Decade Ago,Never,Never,Decade Ago,Never,Decade Ago,Decade Ago,Never,Never
325,25-34,F,Doctorate degree,UK,White,0.22393,0.00332,1.43533,-0.91699,0.93949,0.19268,-0.52593,Last Week,Never,Never,Never,Last Day,Decade Ago,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
326,35-40,F,Professional certificate/diploma,UK,White,-0.79151,1.2861,-0.17779,0.94156,2.33337,0.19268,-0.52593,Last Week,Never,Never,Never,Last Week,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
327,35-40,M,Left school at 18 years,UK,White,-0.58016,-1.6334,-1.97495,0.94156,0.41594,0.52975,0.07987,Last Day,Last Year,Last Decade,Never,Last Month,Last Month,Last Week,Never,Never,Last Year,Never,Never,Never,Never,Never,Never,Last Day,Never,Never
328,45-54,M,Masters degree,UK,White,-1.86962,1.58487,-0.01928,1.61108,1.30612,-1.37983,-0.84637,Last Day,Never,Never,Never,Last Day,Never,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Decade Ago,Never,Never
329,25-34,F,Professional certificate/diploma,UK,White,0.22393,-0.30033,-1.27553,1.11406,-0.52745,-1.37983,-2.07848,Last Week,Never,Never,Last Decade,Last Day,Decade Ago,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Last Day,Never,Never
330,45-54,M,Professional certificate/diploma,UK,White,-0.34799,0.47617,-0.97631,0.43852,-0.14277,0.52975,-0.21575,Last Month,Never,Never,Decade Ago,Last Day,Decade Ago,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Last Decade,Never,Never
331,45-54,F,Professional certificate/diploma,UK,White,-1.05308,0.47617,-0.71727,0.76096,0.7583,-0.21712,-0.21575,Decade Ago,Never,Never,Never,Last Day,Never,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
332,35-40,M,Left school before 16 years,UK,White,-0.24649,-0.43999,-0.97631,-0.45321,0.58489,-1.37983,-0.84637,Last Day,Last Decade,Last Decade,Last Decade,Last Day,Last Decade,Last Day,Last Day,Last Decade,Last Year,Never,Last Decade,Never,Last Decade,Never,Last Decade,Last Day,Never,Never
333,55-64,F,Left school at 18 years,Canada,White,-0.46725,-0.43999,-1.55521,0.94156,0.7583,-1.37983,-1.54858,Never,Never,Never,Never,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Last Week,Never,Never
334,18-24,F,"Some college or university, no certificate or degree",UK,White,2.82196,-1.92173,-0.84732,0.43852,-1.78169,0.19268,-0.52593,Last Day,Never,Last Year,Never,Last Day,Last Week,Last Day,Last Year,Never,Last Year,Never,Never,Last Week,Never,Never,Never,Last Day,Never,Last Year
335,65+,M,"Some college or university, no certificate or degree",Canada,White,-1.32828,-0.43999,-0.97631,0.13136,0.12331,1.29221,-0.21575,Last Month,Never,Never,Last Week,Last Day,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Decade Ago,Never,Never
336,65+,F,Left school at 16 years,Canada,White,-0.14882,-0.15487,-1.42424,-1.34289,-0.00665,-0.21712,0.7654,Last Month,Never,Never,Never,Last Day,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Last Day,Never,Never
337,25-34,F,Masters degree,UK,White,0.41667,-0.57545,0.58331,0.43852,-1.0145,1.86203,0.7654,Last Day,Never,Never,Never,Last Day,Last Year,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Last Year,Never,Never
338,45-54,F,Masters degree,UK,Black,0.62967,0.16767,-0.17779,-0.01729,1.30612,-0.21712,-0.84637,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Last Week,Never,Never
339,45-54,F,Professional certificate/diploma,Canada,White,-0.58016,0.32197,1.06238,-1.772,0.41594,1.86203,0.40148,Last Week,Decade Ago,Decade Ago,Last Decade,Last Day,Last Decade,Last Day,Last Year,Decade Ago,Decade Ago,Never,Never,Never,Decade Ago,Never,Last Decade,Last Day,Never,Never
340,35-40,M,Doctorate degree,UK,White,-1.86962,1.2861,0.29338,0.76096,1.46191,-0.21712,0.40148,Last Day,Never,Never,Never,Never,Never,Last Month,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
341,45-54,F,Professional certificate/diploma,UK,White,-0.14882,-0.30033,-0.58331,0.94156,0.7583,-1.37983,-0.21575,Last Week,Never,Never,Never,Last Year,Never,Last Week,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
342,35-40,F,Masters degree,UK,White,-0.46725,1.11406,0.88309,0.28783,0.41594,-2.55524,-0.21575,Last Week,Never,Never,Never,Last Day,Last Day,Last Week,Decade Ago,Never,Never,Never,Never,Last Year,Never,Never,Last Decade,Last Day,Never,Never
343,55-64,F,Professional certificate/diploma,UK,White,-1.69163,0.96248,-0.31776,0.94156,1.81175,-2.55524,-1.54858,Last Week,Never,Never,Never,Last Day,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never
344,55-64,F,Professional certificate/diploma,UK,White,0.62967,0.00332,-0.01928,-0.15487,0.58489,0.19268,-0.52593,Decade Ago,Never,Never,Decade Ago,Last Day,Never,Last Day,Never,Never,Never,Never,Never,Never,Never,Never,Never,Last Day,Never,Never
345,18-24,F,Left school before 16 years,UK,White,0.22393,-0.15487,-0.01928,-0.15487,-0.40581,0.88113,-0.84637,Last Week,Last Decade,Last Year,Last Day,Last Day,Last Day,Last Week,Last Month,Last Decade,Last Year,Last Year,Never,Last Year,Last Decade,Last Decade,Last Decade,Last Day,Never,Never
